epoch,train_loss,val_loss,train_ppl,val_ppl
1,1.7196413278579712,1.7943000672599687,5.582525808659411,6.015262968515624
2,1.6269670724868774,1.7225907541090442,5.088418487142103,5.599015362234145
3,1.5923618078231812,1.6894141572961061,4.915344328571907,5.416306671734145
4,1.5706051588058472,1.6647891047912808,4.809557859572393,5.284558644134158
5,1.5527387857437134,1.6547816618246967,4.724391576346365,5.231937465782105
6,1.5409897565841675,1.6439996133751584,4.669209365433771,5.175829485578583
7,1.5256670713424683,1.634941022516945,4.59820988050676,5.129155483425893
8,1.5184580087661743,1.6290257224289504,4.565180296953708,5.0989045494282985
9,1.5214980840682983,1.6266536190762497,4.579079906048298,5.0868237549627855
10,1.5101560354232788,1.6217237947173933,4.527437179778956,5.061808318822418
11,1.5075278282165527,1.6152685924609136,4.515553759640652,5.029238557636269
12,1.497730016708374,1.6160389217912876,4.471527248975993,5.033114220183278
13,1.5023772716522217,1.612253734593018,4.4923559367150006,5.014098951548973
14,1.495462417602539,1.611015859836807,4.46139910540906,5.007895965083972
15,1.495390772819519,1.6100227261468563,4.461079480888039,5.002924923748176
16,1.4851768016815186,1.608022584893187,4.415746055094806,4.992928367813793
17,1.4832042455673218,1.6075307987802039,4.407044333353818,4.99047351865922
18,1.489019751548767,1.6052737367867325,4.432748194070562,4.979222412549224
19,1.483315348625183,1.604645021500126,4.407533996656426,4.9760928831976
20,1.48358952999115,1.6047941627590339,4.408742626032429,4.976835079299297
